"id","app","path","kind","source","actual_url","http_status","desktop_headings","mobile_headings","browser_errors","desktop_overflow","mobile_overflow","evidence_status","desktop_screenshot","mobile_screenshot"
"001","spa","/","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/","SPA hash navigation","运营工作台 | 库存风险清单 | 运营队列 | 声明式 Surface","运营工作台 | 库存风险清单 | 运营队列 | 声明式 Surface","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/001-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/001-mobile.jpg"
"002","spa","/design_principles","list","example/src/resources.ts","http://127.0.0.1:5173/#/design_principles","SPA hash navigation","核心设计原则 | 高密度表格 | 七条原则 | 默认清晰 | 缩短操作回路 | 契约一致 | 状态可信 | 克制而清晰 | 默认可访问 | AI 可生成且可审计 | 状态工作台 | 没有待处理项目 | 媒体状态矩阵 | 命令按钮 | 企业组件组合示例 | 运营仪表盘 | 审批演示 | 示例采购申请 | 企业输入组件组合 | 表单错误汇总 | 请修正以下错误","核心设计原则 | 高密度表格 | 七条原则 | 默认清晰 | 缩短操作回路 | 契约一致 | 状态可信 | 克制而清晰 | 默认可访问 | AI 可生成且可审计 | 状态工作台 | 没有待处理项目 | 媒体状态矩阵 | 命令按钮 | 企业组件组合示例 | 运营仪表盘 | 审批演示 | 示例采购申请 | 企业输入组件组合 | 表单错误汇总 | 请修正以下错误","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/002-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/002-mobile.jpg"
"003","spa","/case_workspace","list","example/src/resources.ts","http://127.0.0.1:5173/#/case_workspace","SPA hash navigation","封装失效分析 · MX-47 | 确认受理并开放接样 | 阶段门禁健康度 | 关键卡点 | 案件上下文","封装失效分析 · MX-47 | 确认受理并开放接样 | 阶段门禁健康度 | 关键卡点 | 案件上下文","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/003-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/003-mobile.jpg"
"004","spa","/public-profile","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/public-profile","SPA hash navigation","Alex Chen | Alex Chen | 6 个项目 | Dashboard Redesign | API Gateway v2 | Mobile App | Data Pipeline | Access Review | Billing Portal","Alex Chen | Alex Chen | 6 个项目 | Dashboard Redesign | API Gateway v2 | Mobile App | Data Pipeline | Access Review | Billing Portal","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/004-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/004-mobile.jpg"
"005","spa","/public-profile/projects/2-columns","menu","example/src/exampleMenu.catalog.csv","http://127.0.0.1:5173/#/public-profile/projects/2-columns","SPA hash navigation","Alex Chen | Alex Chen | 6 个项目 | Dashboard Redesign | API Gateway v2 | Mobile App | Data Pipeline | Access Review | Billing Portal","Alex Chen | Alex Chen | 6 个项目 | Dashboard Redesign | API Gateway v2 | Mobile App | Data Pipeline | Access Review | Billing Portal","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/005-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/005-mobile.jpg"
"006","spa","/public-profile/projects/3-columns","menu","example/src/exampleMenu.catalog.csv","http://127.0.0.1:5173/#/public-profile/projects/3-columns","SPA hash navigation","Alex Chen | 12 个项目 | Dashboard Redesign | API Gateway v2 | Mobile App | Data Pipeline | Access Review | Billing Portal | Warehouse Console | Notification Center | Partner Directory | Audit Export | Team Onboarding | AI Prompt Library","Alex Chen | 12 个项目 | Dashboard Redesign | API Gateway v2 | Mobile App | Data Pipeline | Access Review | Billing Portal | Warehouse Console | Notification Center | Partner Directory | Audit Export | Team Onboarding | AI Prompt Library","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/006-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/006-mobile.jpg"
"007","spa","/public-profile/activity","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/public-profile/activity","SPA hash navigation","Alex Chen | Alex Chen | 活动 | 活动","Alex Chen | Alex Chen | 活动 | 活动","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/007-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/007-mobile.jpg"
"008","spa","/public-profile/teams","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/public-profile/teams","SPA hash navigation","Alex Chen | 3 个团队 | Frontend Platform | Backend Services | Design Systems | Alex Chen","Alex Chen | 3 个团队 | Frontend Platform | Backend Services | Design Systems | Alex Chen","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/008-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/008-mobile.jpg"
"009","spa","/public-profile/profiles/default","menu","example/src/exampleMenu.catalog.csv","http://127.0.0.1:5173/#/public-profile/profiles/default","SPA hash navigation","Alex Chen | Alex Chen","Alex Chen | Alex Chen","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/009-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/009-mobile.jpg"
"010","spa","/public-profile/profiles/company","menu","example/src/exampleMenu.catalog.csv","http://127.0.0.1:5173/#/public-profile/profiles/company","SPA hash navigation","Acme Corporation | Acme Corporation","Acme Corporation | Acme Corporation","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/010-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/010-mobile.jpg"
"011","spa","/public-profile/profiles/gamer","menu","example/src/exampleMenu.catalog.csv","http://127.0.0.1:5173/#/public-profile/profiles/gamer","SPA hash navigation","ShadowFox | ShadowFox | 活动","ShadowFox | ShadowFox | 活动","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/011-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/011-mobile.jpg"
"012","spa","/account/home/get-started","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/home/get-started","SPA hash navigation","开始使用 | 个人资料 | 企业资料 | 成员与邀请 | 安全设置 | 外观与偏好 | 集成与 API | 账户准备度","开始使用 | 个人资料 | 企业资料 | 成员与邀请 | 安全设置 | 外观与偏好 | 集成与 API | 账户准备度","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/012-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/012-mobile.jpg"
"013","spa","/account/home/user-profile","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/home/user-profile","SPA hash navigation","用户资料 | 个人信息 | 工作 | 连接 | Source Control | ChatOps | Cloud Drive | 我的文件 | 日历账户","用户资料 | 个人信息 | 工作 | 连接 | Source Control | ChatOps | Cloud Drive | 我的文件 | 日历账户","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/013-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/013-mobile.jpg"
"014","spa","/account/home/company-profile","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/home/company-profile","SPA hash navigation","公司资料 | 基础设置 | 公司名称 | 成员","公司资料 | 基础设置 | 公司名称 | 成员","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/014-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/014-mobile.jpg"
"015","spa","/settings/account","menu","example/src/exampleMenu.catalog.csv","http://127.0.0.1:5173/#/settings/account","SPA hash navigation","设置 | 通用 | 工作区 | 开发者 | 个人资料","个人资料","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/015-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/015-mobile.jpg"
"016","spa","/account/home/settings-plain","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/home/settings-plain","SPA hash navigation","纯净设置 | 基础设置","纯净设置 | 基础设置","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/016-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/016-mobile.jpg"
"017","spa","/account/home/settings-sidebar","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/home/settings-sidebar","SPA hash navigation","侧边栏设置 | 基础设置","侧边栏设置 | 基础设置","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/017-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/017-mobile.jpg"
"018","spa","/account/home/settings-enterprise","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/home/settings-enterprise","SPA hash navigation","企业设置 | 安全策略 | 单点登录 (SSO) | 连接 | 尚未配置身份源 | 安全日志 | 暂无数据","企业设置 | 安全策略 | 单点登录 (SSO) | 连接 | 尚未配置身份源 | 安全日志 | 暂无数据","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/018-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/018-mobile.jpg"
"019","spa","/account/appearance","settings-tab","packages/ui/src/components/SettingsPage.svelte:resolvedSections","http://127.0.0.1:5173/#/account/appearance","SPA hash navigation","设置 | 通用 | 工作区 | 开发者 | 外观设置 | 主题模式 | 强调色 | 界面","外观设置 | 主题模式 | 强调色 | 界面","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/019-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/019-mobile.jpg"
"020","spa","/account/notifications","settings-tab","packages/ui/src/components/SettingsPage.svelte:resolvedSections","http://127.0.0.1:5173/#/account/notifications","SPA hash navigation","设置 | 通用 | 工作区 | 开发者 | 通知设置 | 邮件通知 | 应用内与浏览器推送 | 短信紧急警报","通知设置 | 邮件通知 | 应用内与浏览器推送 | 短信紧急警报","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/020-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/020-mobile.jpg"
"021","spa","/account/integrations","settings-tab","packages/ui/src/components/SettingsPage.svelte:resolvedSections","http://127.0.0.1:5173/#/account/integrations","SPA hash navigation","设置 | 通用 | 工作区 | 开发者 | 第三方集成 | 第三方集成","第三方集成 | 第三方集成","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/021-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/021-mobile.jpg"
"022","spa","/account/api-keys","settings-tab","packages/ui/src/components/SettingsPage.svelte:resolvedSections","http://127.0.0.1:5173/#/account/api-keys","SPA hash navigation","设置 | 通用 | 工作区 | 开发者 | API 设置 | 活跃 API 密钥 | 尚未生成活跃的 API 密钥。 | Webhooks | 尚未配置 Webhook。 | 创建新 API 密钥","API 设置 | 活跃 API 密钥 | 尚未生成活跃的 API 密钥。 | Webhooks | 尚未配置 Webhook。 | 创建新 API 密钥","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/022-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/022-mobile.jpg"
"023","spa","/billing_plans","list","example/src/resources.ts","http://127.0.0.1:5173/#/billing_plans","SPA hash navigation","套餐方案 | Starter | Pro | Enterprise | Legacy Basic","套餐方案 | Starter | Pro | Enterprise | Legacy Basic","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/023-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/023-mobile.jpg"
"024","spa","/billing_invoices","list","example/src/resources.ts","http://127.0.0.1:5173/#/billing_invoices","SPA hash navigation","账单历史 | 收款台账 | 收款状态","账单历史 | 收款台账 | 收款状态","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/024-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/024-mobile.jpg"
"025","spa","/billing_subscriptions","list","example/src/resources.ts","http://127.0.0.1:5173/#/billing_subscriptions","SPA hash navigation","订阅组合 | 续费组合","订阅组合 | 续费组合","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/025-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/025-mobile.jpg"
"026","spa","/account/members/members-starter","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/members/members-starter","SPA hash navigation","开始组建团队 | 邀请你的第一位团队成员 | 团队准备清单","开始组建团队 | 邀请你的第一位团队成员 | 团队准备清单","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/026-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/026-mobile.jpg"
"027","spa","/account/members/team-members","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/members/team-members","SPA hash navigation","团队成员 | 邀请成员 | 通过链接邀请","团队成员 | 邀请成员 | 通过链接邀请","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/027-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/027-mobile.jpg"
"028","spa","/account/members/import-members","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/members/import-members","SPA hash navigation","导入成员","导入成员","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/028-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/028-mobile.jpg"
"029","spa","/account/security/security-log","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/account/security/security-log","SPA hash navigation","安全日志","安全日志","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/029-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/029-mobile.jpg"
"030","spa","/security_sessions","list","example/src/resources.ts","http://127.0.0.1:5173/#/security_sessions","SPA hash navigation","登录会话 | 会话活动","登录会话 | 会话活动","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/030-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/030-mobile.jpg"
"031","spa","/security_devices","list","example/src/resources.ts","http://127.0.0.1:5173/#/security_devices","SPA hash navigation","可信设备 | Jordan MacBook | Priya iPhone | Unknown Android","可信设备 | Jordan MacBook | Priya iPhone | Unknown Android","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/031-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/031-mobile.jpg"
"032","spa","/security_allowed_ips","list","example/src/resources.ts","http://127.0.0.1:5173/#/security_allowed_ips","SPA hash navigation","允许 IP 策略 | 网络访问规则","允许 IP 策略 | 网络访问规则","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/032-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/032-mobile.jpg"
"033","spa","/referral_invites","list","example/src/resources.ts","http://127.0.0.1:5173/#/referral_invites","SPA hash navigation","推荐邀请 | 邀请转化 | 邀请码","推荐邀请 | 邀请转化 | 邀请码","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/033-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/033-mobile.jpg"
"034","spa","/network/user-cards/nft","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/network/user-cards/nft","SPA hash navigation","用户卡片 | CryptoArt Studio | PixelPunk Collective | MetaVerse Builders | SoundWave NFT | GameAssets DAO | PhotoVerse","用户卡片 | CryptoArt Studio | PixelPunk Collective | MetaVerse Builders | SoundWave NFT | GameAssets DAO | PhotoVerse","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/034-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/034-mobile.jpg"
"035","spa","/network/user-table/team-crew","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/network/user-table/team-crew","SPA hash navigation","团队成员表","团队成员表","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/035-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/035-mobile.jpg"
"036","spa","/login","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/login","SPA hash navigation","欢迎回来","欢迎回来","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/036-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/036-mobile.jpg"
"037","spa","/register","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/register","SPA hash navigation","创建账号","创建账号","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/037-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/037-mobile.jpg"
"038","spa","/forgot-password","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/forgot-password","SPA hash navigation","忘记密码","忘记密码","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/038-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/038-mobile.jpg"
"039","spa","/update-password","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/update-password","SPA hash navigation","重置密码","重置密码","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/039-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/039-mobile.jpg"
"040","spa","/authentication/branded/2fa","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/authentication/branded/2fa","SPA hash navigation","两步验证设置 | 两步验证设置","两步验证设置 | 两步验证设置","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/040-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/040-mobile.jpg"
"041","spa","/authentication/error-404","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/authentication/error-404","SPA hash navigation","页面未找到","页面未找到","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/041-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/041-mobile.jpg"
"042","spa","/authentication/error-500","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/authentication/error-500","SPA hash navigation","出错了","出错了","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/042-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/042-mobile.jpg"
"043","spa","/inventory-dashboard","builtin","packages/ui/src/router-state.svelte.ts","http://127.0.0.1:5173/#/inventory-dashboard","SPA hash navigation","运营工作台 | 库存风险清单 | 运营队列 | 声明式 Surface","运营工作台 | 库存风险清单 | 运营队列 | 声明式 Surface","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/043-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/043-mobile.jpg"
"044","spa","/products","list","example/src/resources.ts","http://127.0.0.1:5173/#/products","SPA hash navigation","商品目录 | 库存风险","商品目录 | 库存风险","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/044-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/044-mobile.jpg"
"045","spa","/skus","list","example/src/resources.ts","http://127.0.0.1:5173/#/skus","SPA hash navigation","SKU 变体目录 | 条码与变体","SKU 变体目录 | 条码与变体","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/045-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/045-mobile.jpg"
"046","spa","/categories","list","example/src/resources.ts","http://127.0.0.1:5173/#/categories","SPA hash navigation","商品分类结构 | Electronics | Furniture | Office Supplies","商品分类结构 | Electronics | Furniture | Office Supplies","[]","false","false","已采集双视口；非功能全项验收","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/046-desktop.jpg","/private/tmp/svadmin-tailwind-openui/output/playwright/pm-audit-20260921/spa/046-mobile.jpg"
